File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\help_page.java,3282,1607,1080,595,596,1426,605,108,265,0,244,36,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\individual_post_page.java,3055,1509,995,550,498,1499,503,54,248,7,233,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\listen_page.java,17984,8260,6238,3485,5085,4802,4169,379,1745,16,1659,125,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\messages_page.java,842,443,253,144,17,538,120,9,72,1,82,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\profile_load_page.java,2024,1027,633,363,206,1091,333,9,177,7,193,4,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\profile_page.java,20423,9318,7129,3975,5780,4074,5644,613,2090,27,2028,164,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\purchase_page.java,5211,2606,1667,937,543,2226,1209,171,503,5,499,52,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\search_page.java,1417,737,436,243,60,786,265,45,110,7,134,9,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\timeline_page.java,3757,1763,1287,706,1027,1455,552,99,332,0,270,18,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\view_featured_playlists.java,1785,940,537,306,17,989,369,45,154,7,187,13,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\view_following_follower_page.java,3137,1450,1103,583,803,887,677,207,248,0,284,26,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\view_friends_page.java,647,342,195,109,17,436,70,9,48,0,63,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\view_playlists_page.java,3216,1599,1042,575,394,1411,718,81,269,7,304,29,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\main\view_potential_friends_page.java,2321,1181,731,407,236,1309,376,27,177,1,181,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\notification\Like.java,407,217,120,68,0,232,120,0,15,7,31,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\notification\Mention.java,661,340,206,113,26,349,188,0,30,7,57,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\notification\NotificationTab.java,2948,1397,1004,546,837,1353,371,18,172,9,177,8,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\notification\NotificationTabType.java,246,133,72,40,8,160,31,0,10,7,26,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\notification\notification_all_page.java,2357,1169,768,419,398,1164,348,72,172,7,182,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\notification\notification_mention_page.java,2173,1099,692,382,258,1120,356,72,170,7,177,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\notification\notification_new_follower_page.java,2327,1152,759,415,398,1135,348,72,172,7,181,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\enums\ColorType.java,372,195,115,62,17,247,52,0,15,0,35,3,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\enums\EventType.java,682,365,201,115,17,509,54,0,54,0,35,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\enums\InviteType.java,583,279,195,108,151,276,79,0,27,0,48,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\enums\PartyOption.java,417,214,131,71,26,247,75,0,21,0,42,4,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\enums\PartyType.java,326,169,101,55,17,203,52,0,13,0,34,4,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\gui\create_party_page.java,20458,9347,7104,4007,6221,4482,5304,631,1985,13,1614,205,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\gui\PartyData.java,5213,2657,1603,952,17,1790,2078,54,651,9,557,54,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\gui\search_party_page.java,7798,3628,2688,1481,2194,2401,1685,198,648,7,599,64,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\gui\view_party_page.java,17077,7870,5866,3340,4919,4453,4167,415,1741,3,1214,163,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\Party.java,4454,2125,1502,826,721,1862,1110,0,236,5,518,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\PartyManager.java,1292,603,438,250,335,480,260,0,95,0,119,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\party\PartyTab.java,2332,1094,802,436,697,975,281,72,138,0,156,12,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\plugin\load_party_page.java,921,495,271,153,8,640,106,9,70,7,75,3,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\plugin\party_plugin.java,6364,3002,2176,1185,1586,2357,1250,171,465,0,502,30,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\register\quick_register_page.java,6812,3162,2366,1282,1903,2226,1309,261,532,0,523,54,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\register\register_confirm_account_page.java,4839,2325,1627,886,978,1906,940,162,402,2,404,41,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\register\register_stage_three_page.java,5558,2517,1972,1068,1858,1571,1099,99,451,10,416,52,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\register\register_stage_two_page.java,2845,1360,954,530,661,1120,512,45,243,3,238,20,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\SceneUtilities.java,3911,1784,1387,739,1353,1513,451,54,264,9,261,3,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\settings\blocked_users_page.java,3775,1895,1200,680,388,1731,791,99,404,1,324,34,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\settings\general_settings_page.java,14728,6916,4983,2829,3342,3827,3795,559,1532,8,1501,161,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\settings\password_settings_page.java,4588,2228,1523,836,826,1848,976,171,355,0,372,36,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\settings\Settings.java,8258,3740,2889,1628,2535,2357,1788,126,792,19,586,52,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\settings\SettingTab.java,2324,1108,777,437,661,1047,267,36,144,0,156,9,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\settings\SettingType.java,564,305,166,93,17,392,52,9,34,7,37,12,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\settings\SocialType.java,422,219,132,71,26,247,79,0,19,7,41,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\tab\Tab.java,1559,807,479,272,142,887,240,18,119,11,130,9,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\tab\TabBuilder.java,6660,2909,2432,1319,2770,1659,1037,180,534,2,440,36,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\tab\TabType.java,4189,2008,1416,764,623,1760,1180,0,300,19,277,27,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\gui\UserInterface.java,143,81,39,22,0,101,16,0,2,7,16,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\Main.java,6184,2953,2064,1166,1599,2328,999,108,534,76,518,19,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\Options.java,174,94,51,28,8,101,31,0,6,8,17,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\adblock\AdvertManager.java,402,211,122,68,17,247,72,0,17,7,40,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\adblock\AdvertTerm.java,372,191,118,62,26,203,79,0,12,8,42,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\adblock\TermType.java,128,75,34,18,0,101,7,0,0,7,12,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\advertising\Advert.java,609,304,197,107,44,320,135,0,27,0,80,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\advertising\AdvertManager.java,3106,1497,1038,571,701,1440,475,36,212,7,218,13,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\album\Album.java,1017,508,329,180,102,523,197,36,53,0,102,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\album\ImageCallback.java,760,346,269,144,280,262,133,0,30,7,47,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\album\ImageHandler.java,5940,2840,2004,1096,1215,2415,1137,162,546,4,414,44,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\AudioBar.java,13421,6061,4761,2597,4443,3158,2775,667,1171,33,1048,123,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\bluetooth\BlueTest.java,2909,1373,989,547,701,1309,385,18,245,8,229,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\bluetooth\Bluetooth.java,839,392,286,160,284,349,104,0,33,7,60,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\bluetooth\BluetoothDevice.java,331,173,102,56,17,189,61,0,12,7,43,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\bluetooth\BluetoothDiscover.java,2909,1373,989,547,701,1309,385,18,245,8,229,11,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\bluetooth\DiscoverDevices.java,2459,1223,793,442,462,1178,342,18,199,60,188,9,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\bluetooth\RemoteDeviceDiscover.java,1828,898,600,330,352,960,215,36,124,8,124,6,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\cache\DownloadedImage.java,324,169,100,54,17,189,61,0,10,7,38,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\cache\StoredImage.java,489,259,148,82,17,320,81,0,24,7,38,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\Cart.java,525,269,164,91,26,320,99,0,24,0,53,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\Cooldown.java,1155,543,398,213,303,480,167,36,75,0,87,5,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\currency\Currency.java,397,187,139,70,105,174,63,0,12,7,34,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\currency\CurrencyType.java,296,161,87,47,8,218,27,0,8,7,26,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\CustomColor.java,426,229,124,72,8,320,31,0,32,0,25,7,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\CustomToolTip.java,463,244,140,78,48,305,40,0,20,7,38,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\data\AccountData.java,717,358,231,127,53,363,161,0,41,0,94,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\data\CommentData.java,808,406,260,141,53,422,185,9,40,0,95,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\data\Data.java,2239,1073,766,399,597,1120,281,9,97,21,87,24,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\data\LoadData.java,386,195,124,67,26,218,81,0,15,0,44,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\data\TimelineData.java,1353,680,435,236,89,727,303,9,70,1,149,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\data\TrendData.java,549,277,176,96,35,305,115,0,22,0,69,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\data\YouTubeData.java,593,300,188,104,106,305,90,0,30,13,46,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\EffectManager.java,1799,775,671,352,793,553,247,0,113,0,91,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\EffectType.java,174,96,50,27,0,145,9,0,2,0,17,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\LargeRipple.java,714,376,212,125,8,451,131,0,74,2,40,4,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\LargeRippleEffect.java,1290,630,426,233,249,611,190,36,99,4,96,3,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\LightEffect.java,2106,1026,695,383,351,946,383,54,202,5,157,5,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\ProgressBarColorChangeEffect.java,1793,888,583,321,264,669,303,216,171,1,145,22,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\Ripple.java,866,427,281,157,158,451,129,0,73,2,40,10,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\RippleEffect.java,1673,806,560,307,333,684,299,54,155,6,135,4,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\effects\SmokeEffect.java,92,51,26,14,0,72,7,0,0,0,12,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\BrowserEvent.java,4070,1813,1458,798,1638,1208,534,63,300,8,297,20,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\ImageUploadEvent.java,199,113,55,30,0,160,16,0,3,7,13,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\PauseSongEvent.java,110,64,29,16,0,72,11,0,2,7,17,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\PlaySongEvent.java,323,180,91,50,0,232,20,18,16,7,27,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\PopupCloseEvent.java,664,327,213,123,202,320,52,0,36,7,43,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\PopupOpenEvent.java,667,329,214,124,202,320,52,0,36,7,46,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\SocketReceiveEvent.java,199,113,55,30,0,160,16,0,3,7,13,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\SongEndEvent.java,175,100,48,27,0,131,11,0,5,7,20,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\events\SongPlayEvent.java,351,180,111,59,70,203,18,9,13,7,29,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\filemanager\FileManager.java,2475,1111,878,484,849,771,421,27,186,0,206,12,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\filemanager\FileUtilities.java,1019,474,352,191,301,422,124,9,69,7,81,3,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\following\FollowingManager.java,267,145,79,43,8,189,34,0,8,7,19,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\following\Friend.java,901,446,294,160,71,451,215,0,43,0,120,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\home\CachedItem.java,443,228,139,76,26,247,88,0,17,7,56,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\home\HomeItem.java,2052,1007,678,367,170,989,503,0,117,7,264,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\home\HomeManager.java,20559,9076,7443,4039,7520,4758,4339,415,1782,47,1554,141,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\home\HomeSideBarType.java,299,157,92,50,17,174,52,0,12,7,33,2,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\home\Hover.java,5573,2545,1964,1063,1766,1862,969,126,457,0,358,31,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\home\TimelineItem.java,13043,6008,4552,2482,3288,3798,3108,379,1219,10,1154,84,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\home\TimelineUtilities.java,9593,4334,3411,1848,3301,3041,1575,297,717,18,586,56,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\ImageBuilder.java,1842,847,654,340,450,625,457,0,113,7,187,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\LayoutManager.java,2426,921,1018,485,1563,334,290,72,71,0,93,1,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\Log.java,194,102,59,32,8,116,34,0,7,2,25,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\logger\Log.java,238,124,74,39,17,131,45,0,10,7,26,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\message\Conversation.java,1799,897,584,317,134,917,448,0,87,7,204,0,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\message\ConversationManager.java,2055,933,725,395,774,742,256,18,122,7,130,4,
C:\Users\OEM\Desktop\Folders\Programming\workspace\BeatPlaylist\src\com\beatplaylist\utilities\message\Message.java,482,240,158,83,44,232,122,0,18,7,56,0,
